ID,Name,Role,Title,School,Org,Project,Tool,Award,Website,LinkedIn,Bluesky,X,Email,Office
0001,John Smith,Faculty,Professor of xxx,,,,,,,,,,,
0002,Jane Doe,Faculty,Professor of yyy,,,,,,,,,,,
0003,Mark Grey,Faculty,Professor of zzz,,,,,,,,,,,
0004,Mary J. Park,Student,M.S.AAD,,,,,,,,,,,
0005,Tony Todd,Student,M.S.AUD,,,,,,,,,,,
0006,May Lee,Alumnus,President of aaa,,,,,,,,,,,
0007,Claudia Smith,Student,Professor of xxx,,,,,,,,,,,
0008,Olivia James,Faculty,Professor of xxx,,,,,,,,,,,
0009,Jessie Colmer,Faculty,Professor of xyz,,,,,,,,,,,
0010,Elizabeth Stoke,Faculty,Professor of xyz,,,,,,,,,,,
0011,Alice Brown,Alumnus,Professor of xxx,,,,,,,,,,,
0012,Jaden Brown,Alumnus,Senior Designer of xxx,,,,,,,,,,,
0013,George Wilson,Faculty,Professor of xzz,,,,,,,,,,,
0014,Jade Grayson,Faculty,Professor of xzz,,,,,,,,,,,
0015,Tyler Jordan,Student,M.S.CDP,,,,,,,,,,,
0016,Jennifer Styles,Student,M.S.CDP,,,,,,,,,,,
0017,Brody Parker,Faculty,Professor of xxx,,,,,,,,,,,
0018,Maggie Danes,Student,Professor of xxx,,,,,,,,,,,
0019,Emerson Pearce,Alumnus,Vice President of abc,,,,,,,,,,,
0020,Ludwig Hansen,Faculty,Professor of yyy,,,,,,,,,,,
